Regression,Ologit Group,Variable (concept),Reference question (latest available wording),2013 column,2013 answers,2013 note,2014 column,2014 answers,2014 note,2015 column,2015 answers,2015 note,2016 column,2016 answers,2016 note,2017 column,2017 answers,2017 note
Main,weight,FAKTOR_FERT,Fert tahmini için örnekleme tarafından hesaplanan ağırlık değeri,ff,,,ff,,,FAKTOR_FERT,,,FAKTOR_FERT,,,FAKTOR_FERT,,
Main,hap / hap_binary,MUTLULUK,B9 Yaşamınızı bir bütün olarak düşündüğünüzde ne kadar mutlusunuz?,b9,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,,b9,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,,MUTLULUK,1 Çok mutlu; 2 Mutlu; 3 Orta; 4 Mutsuz; 5 Çok mutsuz,
Main,sex,CINSIYET,Görüşülen kişinin cinsiyeti,cins,1 Erkek; 2 Kadın,,cins,1 Erkek; 2 Kadın,,CINSIYET,1 Erkek; 2 Kadın,,CINSIYET,1 Erkek; 2 Kadın,,CINSIYET,1 Erkek; 2 Kadın,
Main,age / age2,BITIRILEN_YAS,Ferdin bitirdiği yaş,yas,,Araştırmanın uygulandığı referans dönemi itibari ile hesaplanmıştır,yas,,Araştırmanın uygulandığı referans dönemi itibari ile hesaplanmıştır,BITIRILEN_YAS,,Araştırmanın uygulandığı referans dönemi itibari ile,BITIRILEN_YAS,,Araştırmanın uygulandığı referans dönemi itibari ile hesaplanan yaş,BITIRILEN_YAS,,Araştırmanın uygulandığı referans dönemi itibari ile hesaplanan yaş
Main,mars (marital status),MEDENI_DURUM,B1 Medeni durumunuz nedir?,b1,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,,b1,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,,MEDENI_DURUM,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,,MEDENI_DURUM,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,,MEDENI_DURUM,1 Hiç evlenmedi; 2 Evli; 3 Boşandı; 4 Eşi öldü,
Main,mars (marriage satisfaction),OLCEK_MEMNUNIYET_EVLILIK,B12.2 Evliliğinizden memnun musunuz?,b12_2,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,MEDENI_DURUM=2 ise sorunuz,b12_2,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,MEDENI_DURUM=2 ise sorunuz,OLCEK_MEMNUNIYET_EVLILIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,MEDENI_DURUM=2 ise sorunuz,OLCEK_MEMNUNIYET_EVLILIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,MEDENI_DURUM=2 ise sorunuz,OLCEK_MEMNUNIYET_EVLILIK,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,MEDENI_DURUM=2 ise sorunuz
Main,edl (education level),OKUL_BITEN,B2 En son hangi okulu bitirdiniz?,b2,0 Bir okul bitirmedi; 1 İlkokul; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise,OKUL_BITEN <>0 ise B4'e geçiniz,b2,0 Bir okul bitirmedi; 1 İlkokul; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise,OKUL_BITEN <>0 ise B4'e geçiniz,OKUL_BITEN,0 Bir okul bitirmedi; 1 İlkokul; 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans/doktora(5 veya 6 yıllık fakülteler dahil); 7 Doktora,OKUL_BITEN <>0 ise B4'e geçiniz,OKUL_BITEN,0 Bir okul bitirmedi; 1 İlkokul; 21 Genel ortaokul; 22 Mesleki veya teknik ortaokul; 23 İlköğretim; 31 Genel lise; 32 Mesleki veya teknik lise; 4 2 veya 3 yıllık yüksekokul; 5 4 yıllık yüksekokul veya fakülte; 6 Yüksek lisans (5 veya 6 yıllık fakülteler dahil); 7 Doktora,OKUL_BITEN <>0 ise B4'e geçiniz,OKUL_BITEN,1 Bir okul bitirmedi; 2 İlkokul; 31 Genel ortaokul; 32 Mesleki veya teknik ortaokul; 33 İlköğretim; 41 Genel lise; 42 Mesleki veya teknik lise; 511 2 veya 3 yıllık yüksekokul; 512 4 yıllık yüksekokul veya fakülte; 52 Yüksek lisans (5 veya 6 yıllık fakülteler dahil); 53 Doktora,OKUL_BITEN <>1 ise B4'e geçiniz
Main,jobs (employment status),CALISMA_DURUM,B4 Son bir hafta içinde ücretli ya da ücretsiz olarak bir işte çalıştınız mı?,b4,1 Çalıştı [işli]; 2 Çalışmadı fakat işi ile ilgisi devam ediyor [işli]; 3 Çalışmadı [?],CALISMA_DURUM<>3 ise B6'ya geçiniz,b4,1 Çalıştı; 2 Çalışmadı fakat işi ile ilgisi devam ediyor; 3 Çalışmadı,CALISMA_DURUM<>3 ise B6'ya geçiniz,CALISMA_DURUM,1 Çalıştı; 2 Çalışmadı fakat işi ile ilgisi devam ediyor; 3 Çalışmadı,CALISMA_DURUM<>3 ise B6'ya geçiniz,CALISMA_DURUM,1 Çalıştı; 2 Çalışmadı fakat işi ile ilgisi devam ediyor; 3 Çalışmadı,CALISMA_DURUM<>3 ise B6'ya geçiniz,CALISMA_DURUM,1 Çalıştı; 2 Çalışmadı fakat işi ile ilgisi devam ediyor; 3 Çalışmadı,CALISMA_DURUM<>3 ise B6'ya geçiniz
Main,jobs (employment status),CALISMAMA_NEDEN,B5 Çalışmama nedeniniz nedir?,b5,"1 İş bulamama [işsiz]; 2 Mevsimlik çalışıyor [işsiz]; 3 Eğitim ve öğretimine devam ediyor [işgücüne dahil değil]; 4 Ev işleri ile meşgul (çocuk, yaşlı, hasta,  vb. kişilerin bakımı dahil) [işgücüne dahil değil]; 5 Emekli veya işi bırakmış [işgücüne dahil değil]; 6 Özürlü veya hasta (çalışamaz halde) [işgücüne dahil değil]; 7 Yaşlı (emekli değil, ancak çalışmak için yaşlı olduğunu düşünüyor, 65+) [işgücüne dahil değil]; 8 İrad sahibi [işgücüne dahil değil]; 9 Ailevi ve kişisel nedenler [işgücüne dahil değil]; 98 Diğer [işgücüne dahil değil]",CALISMA_DURUM=3 ise sorunuz,b5,"1 İş bulamama; 2 Mevsimlik çalışıyor; 3 Eğitim ve öğretimine devam ediyor; 4 Ev işleri ile meşgul (çocuk, yaşlı, hasta,  vb. kişilerin bakımı dahil); 5 Emekli veya işi bırakmış; 6 Özürlü veya hasta (çalışamaz halde); 7 Yaşlı (emekli değil, ancak çalışmak için yaşlı olduğunu düşünüyor, 65+); 8 İrad sahibi; 9 Ailevi ve kişisel nedenler; 98 Diğer",CALISMA_DURUM=3 ise sorunuz,CALISMAMA_NEDEN,"1 İş bulamama; 2 Mevsimlik çalışıyor; 3 Eğitim ve öğretimine devam ediyor; 4 Ev işleri ile meşgul (çocuk, yaşlı, hasta,  vb. kişilerin bakımı dahil); 5 Emekli veya işi bırakmış; 6 Özürlü veya hasta (çalışamaz halde); 7 Yaşlı (emekli değil, ancak çalışmak için yaşlı olduğunu düşünüyor, 65+); 8 İrad sahibi; 9 Ailevi ve kişisel nedenler; 98 Diğer",CALISMA_DURUM=3 ise sorunuz,CALISMAMA_NEDEN,"1 İş bulamama/işsiz olup iş arıyor; 2 Mevsimlik çalışıyor; 3 Eğitim ve öğretimine devam ediyor; 4 Ev işleri ile meşgul (çocuk, yaşlı, hasta  vb. kişilerin bakımı dahil); 5 Emekli veya işi bırakmış; 6 Engelli veya hasta (çalışamaz halde); 7 Yaşlı (emekli değil, ancak çalışmak için yaşlı olduğunu düşünüyor, 65+); 8 İrad sahibi; 9 Ailevi ve kişisel nedenler; 98 Diğer",CALISMA_DURUM=3 ise sorunuz,CALISMAMA_NEDEN,"1 İş bulamama/işsiz olup iş arıyor; 2 Mevsimlik çalışıyor; 3 Eğitim ve öğretimine devam ediyor; 4 Ev işleri ile meşgul (çocuk, yaşlı, hasta  vb. kişilerin bakımı dahil); 5 Emekli veya işi bırakmış; 6 Engelli veya hasta (çalışamaz halde); 7 Yaşlı (emekli değil, ancak çalışmak için yaşlı olduğunu düşünüyor, 65+); 8 İrad sahibi; 9 Ailevi ve kişisel nedenler; 98 Diğer",CALISMA_DURUM=3 ise sorunuz
Main,jobs (job satisfaction),OLCEK_MEMNUNIYET_IS,B12.6 İşinizden memnun musunuz?,b12_6,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz,b12_6,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz,OLCEK_MEMNUNIYET_IS,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz,OLCEK_MEMNUNIYET_IS,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz,OLCEK_MEMNUNIYET_IS,1 Çok memnun; 2 Memnun; 3 Orta; 4 Memnun değil; 5 Hiç memnun değil,CALISMA_DURUM=1 veya 2 ise sorunuz
